run_id,status,error,timestamp_utc,pilot_mode,condition_name,pressure_mode,requested_fraction_of_ram,actual_fraction_of_ram,requested_size_bytes,actual_size_bytes,trial_id,request_index,model_name,prompt_id,max_tokens,temperature,latency_ms,response_chars,response_digest,eval_count,eval_duration_ns,prompt_eval_count,prompt_eval_duration_ns,total_duration_ns,load_duration_ns,tokens_per_second
pilot=1|mode=anon|requested=0.0200|actual_bytes=2054881280|trial=1,ok,,2026-04-05T21:12:53Z,True,anon__req_0.02x__actual_0.02x,anon,0.02,0.01999996890452929,2054881280,2054881280,1,3,qwen3:4b,locality_prompt_v1,64,0.0,1014.253200031817,0,e3b0c44298fc1c14,64,897187500,24,15789800,1012099800,95531500,71.33402995471961
pilot=1|mode=anon|requested=0.0200|actual_bytes=2054881280|trial=1,ok,,2026-04-05T21:12:54Z,True,anon__req_0.02x__actual_0.02x,anon,0.02,0.01999996890452929,2054881280,2054881280,1,4,qwen3:4b,locality_prompt_v1,64,0.0,1044.957300007809,0,e3b0c44298fc1c14,64,894176700,24,13852000,1043135500,133072400,71.5742201737084
pilot=1|mode=anon|requested=0.0500|actual_bytes=5137207296|trial=1,ok,,2026-04-05T21:13:03Z,True,anon__req_0.05x__actual_0.05x,anon,0.05,0.049999962127311316,5137207296,5137207296,1,0,qwen3:4b,locality_prompt_v1,64,0.0,1190.3937999741174,0,e3b0c44298fc1c14,64,890849600,24,183101500,1187810700,111164200,71.84153194882728
pilot=1|mode=anon|requested=0.0500|actual_bytes=5137207296|trial=1,ok,,2026-04-05T21:13:05Z,True,anon__req_0.05x__actual_0.05x,anon,0.05,0.049999962127311316,5137207296,5137207296,1,1,qwen3:4b,locality_prompt_v1,64,0.0,1009.6975999767892,0,e3b0c44298fc1c14,64,883569100,24,15483900,1007732200,106658100,72.43349727825475
pilot=1|mode=anon|requested=0.0500|actual_bytes=5137207296|trial=1,ok,,2026-04-05T21:13:06Z,True,anon__req_0.05x__actual_0.05x,anon,0.05,0.049999962127311316,5137207296,5137207296,1,2,qwen3:4b,locality_prompt_v1,64,0.0,1054.5272000017576,0,e3b0c44298fc1c14,64,877161000,24,57473100,1052282700,113653900,72.96266021859157
pilot=1|mode=anon|requested=0.0500|actual_bytes=5137207296|trial=1,ok,,2026-04-05T21:13:07Z,True,anon__req_0.05x__actual_0.05x,anon,0.05,0.049999962127311316,5137207296,5137207296,1,3,qwen3:4b,locality_prompt_v1,64,0.0,999.8036999604665,0,e3b0c44298fc1c14,64,884834600,24,14547700,997906300,95793200,72.32990210825842
pilot=1|mode=anon|requested=0.0500|actual_bytes=5137207296|trial=1,ok,,2026-04-05T21:13:08Z,True,anon__req_0.05x__actual_0.05x,anon,0.05,0.049999962127311316,5137207296,5137207296,1,4,qwen3:4b,locality_prompt_v1,64,0.0,1007.8056000056677,0,e3b0c44298fc1c14,64,887134500,24,15170200,1005620700,98402600,72.14238652650754
pilot=0|mode=none|requested=0.0000|actual_bytes=0|trial=1,ok,,2026-04-05T21:16:19Z,False,none_baseline,none,0.0,0.0,0,0,1,0,qwen3:4b,locality_prompt_v1,64,0.0,1012.5016000238247,0,e3b0c44298fc1c14,64,894297000,24,15619400,1009864600,95937000,71.56459207623418
pilot=0|mode=none|requested=0.0000|actual_bytes=0|trial=1,ok,,2026-04-05T21:16:20Z,False,none_baseline,none,0.0,0.0,0,0,1,1,qwen3:4b,locality_prompt_v1,64,0.0,993.1757000158541,0,e3b0c44298fc1c14,64,885984500,24,15086000,991149900,87220200,72.23602670249875
pilot=0|mode=none|requested=0.0000|actual_bytes=0|trial=1,ok,,2026-04-05T21:16:21Z,False,none_baseline,none,0.0,0.0,0,0,1,2,qwen3:4b,locality_prompt_v1,64,0.0,986.3926999969408,0,e3b0c44298fc1c14,64,875149500,24,14945500,984857200,92506600,73.13036229809877
pilot=0|mode=none|requested=0.0000|actual_bytes=0|trial=1,ok,,2026-04-05T21:16:22Z,False,none_baseline,none,0.0,0.0,0,0,1,3,qwen3:4b,locality_prompt_v1,64,0.0,1004.6920999884605,0,e3b0c44298fc1c14,64,896134500,24,14625800,1003105200,89663300,71.41785078021212
pilot=0|mode=none|requested=0.0000|actual_bytes=0|trial=1,ok,,2026-04-05T21:16:23Z,False,none_baseline,none,0.0,0.0,0,0,1,4,qwen3:4b,locality_prompt_v1,64,0.0,986.5031000226736,0,e3b0c44298fc1c14,64,874967000,24,14371700,984462100,92098600,73.14561577750932
pilot=0|mode=none|requested=0.0000|actual_bytes=0|trial=1,ok,,2026-04-05T21:16:24Z,False,none_baseline,none,0.0,0.0,0,0,1,5,qwen3:4b,locality_prompt_v1,64,0.0,985.1786000072025,0,e3b0c44298fc1c14,64,877401400,24,13522600,983667400,90574000,72.94266911358929
pilot=0|mode=none|requested=0.0000|actual_bytes=0|trial=1,ok,,2026-04-05T21:16:25Z,False,none_baseline,none,0.0,0.0,0,0,1,6,qwen3:4b,locality_prompt_v1,64,0.0,979.0513999760151,0,e3b0c44298fc1c14,64,872490900,24,13532700,977389800,89351000,73.35320058925544
pilot=0|mode=none|requested=0.0000|actual_bytes=0|trial=1,ok,,2026-04-05T21:16:26Z,False,none_baseline,none,0.0,0.0,0,0,1,7,qwen3:4b,locality_prompt_v1,64,0.0,982.3190000024624,0,e3b0c44298fc1c14,64,874706800,24,13774400,979929300,89280400,73.16737448479878
pilot=0|mode=none|requested=0.0000|actual_bytes=0|trial=1,ok,,2026-04-05T21:16:27Z,False,none_baseline,none,0.0,0.0,0,0,1,8,qwen3:4b,locality_prompt_v1,64,0.0,981.2644000048749,0,e3b0c44298fc1c14,64,870119200,24,15481800,979882000,91999300,73.55314076508138
pilot=0|mode=none|requested=0.0000|actual_bytes=0|trial=1,ok,,2026-04-05T21:16:28Z,False,none_baseline,none,0.0,0.0,0,0,1,9,qwen3:4b,locality_prompt_v1,64,0.0,985.1813999703154,0,e3b0c44298fc1c14,64,873371200,24,15905800,983300900,92242600,73.27926544864314
pilot=0|mode=none|requested=0.0000|actual_bytes=0|trial=1,ok,,2026-04-05T21:16:29Z,False,none_baseline,none,0.0,0.0,0,0,1,10,qwen3:4b,locality_prompt_v1,64,0.0,1038.8677999726497,0,e3b0c44298fc1c14,64,930511900,24,13762500,1036960700,89876200,68.77934607821781
pilot=0|mode=none|requested=0.0000|actual_bytes=0|trial=1,ok,,2026-04-05T21:16:30Z,False,none_baseline,none,0.0,0.0,0,0,1,11,qwen3:4b,locality_prompt_v1,64,0.0,989.8285000235774,0,e3b0c44298fc1c14,64,876235200,24,14612400,987903600,94024500,73.0397500579753
pilot=0|mode=none|requested=0.0000|actual_bytes=0|trial=1,ok,,2026-04-05T21:16:31Z,False,none_baseline,none,0.0,0.0,0,0,1,12,qwen3:4b,locality_prompt_v1,64,0.0,984.6610999666154,0,e3b0c44298fc1c14,64,874411500,24,13829200,983151000,93396900,73.19208404738501
pilot=0|mode=none|requested=0.0000|actual_bytes=0|trial=1,ok,,2026-04-05T21:16:32Z,False,none_baseline,none,0.0,0.0,0,0,1,13,qwen3:4b,locality_prompt_v1,64,0.0,989.1112999757752,0,e3b0c44298fc1c14,64,875105700,24,14596100,987387400,96172600,73.13402255293275
pilot=0|mode=none|requested=0.0000|actual_bytes=0|trial=1,ok,,2026-04-05T21:16:33Z,False,none_baseline,none,0.0,0.0,0,0,1,14,qwen3:4b,locality_prompt_v1,64,0.0,994.007800007239,0,e3b0c44298fc1c14,64,880914600,24,15730400,991855900,91896000,72.65176442756199
pilot=0|mode=none|requested=0.0000|actual_bytes=0|trial=1,ok,,2026-04-05T21:16:34Z,False,none_baseline,none,0.0,0.0,0,0,1,15,qwen3:4b,locality_prompt_v1,64,0.0,1015.2171999798156,0,e3b0c44298fc1c14,64,901704000,24,15288900,1012620400,93058600,70.97672850514138
pilot=0|mode=none|requested=0.0000|actual_bytes=0|trial=1,ok,,2026-04-05T21:16:35Z,False,none_baseline,none,0.0,0.0,0,0,1,16,qwen3:4b,locality_prompt_v1,64,0.0,997.1144999726675,0,e3b0c44298fc1c14,64,882660900,24,14426000,995662900,94107200,72.50802658189572
pilot=0|mode=none|requested=0.0000|actual_bytes=0|trial=1,ok,,2026-04-05T21:16:36Z,False,none_baseline,none,0.0,0.0,0,0,1,17,qwen3:4b,locality_prompt_v1,64,0.0,990.2541000046767,0,e3b0c44298fc1c14,64,877929500,24,14435800,988440600,93554600,72.89879198728372
pilot=0|mode=none|requested=0.0000|actual_bytes=0|trial=1,ok,,2026-04-05T21:16:37Z,False,none_baseline,none,0.0,0.0,0,0,1,18,qwen3:4b,locality_prompt_v1,64,0.0,1073.8148000091314,0,e3b0c44298fc1c14,64,953382000,24,13649000,1072308500,99986500,67.12944024535811
pilot=0|mode=none|requested=0.0000|actual_bytes=0|trial=1,ok,,2026-04-05T21:16:38Z,False,none_baseline,none,0.0,0.0,0,0,1,19,qwen3:4b,locality_prompt_v1,64,0.0,1018.6417999793775,0,e3b0c44298fc1c14,64,906260500,24,13438000,1017040400,94748200,70.61987143873091
