model,rep,condition,mode,step,elapsed_s,prompt_sha256,input_tokens,cached_input_tokens,cache_write_input_tokens,output_tokens,reasoning_output_tokens,campaign,prompt_tokens,generation_tokens,generation_tps,ttft_s
4b,0,combined,agentic,2,2.588830249966122,5eef11b6d2893427b5e7489662d009a2a83a97775704c21cd206c2c21c26351f,,,,,,rerun_20260911,1284,108,73.73164922358092,1.11391287506558
4b,0,combined,agentic,3,3.211555916001089,7f529362922afa0feb43a839c446edfcc71dfa432b4cd1d5ca1c0d770be2fac4,,,,,,rerun_20260911,1304,150,73.62941151449608,1.163915541023016
4b,0,combined,agentic,4,1.4730433749500662,67bb8626eec845460f42c2ed6be103f8501d24f81ed48e1c23d6e82b64d0d65e,,,,,,rerun_20260911,1503,11,79.80380336978581,1.3262550419894978
4b,0,combined,agentic,5,3.5468311669537798,917d42736ca5c68ab001f65c8082c750f8a93d4757171bd64853015b2be73e0d,,,,,,rerun_20260911,1685,150,72.75009862011557,1.4734300000127405
4b,0,fault,one_shot,0,5.122941458015703,6954c8e9c92218be294851241d271521942bb36658fa12349269bc07b0457782,,,,,,rerun_20260911,1126,261,69.9736851370293,1.3835335409967229
4b,0,fault,agentic,0,0.8271962079452351,01c45072cc068aa796de17b6ff4ee9614813bce296f2463ccc6e29662fe94cde,,,,,,rerun_20260911,281,41,71.60707451914972,0.24598366592545062
4b,0,fault,agentic,1,1.5143395829945803,219d730bcc1722f930823104e3ff9a80f8de913a17c3c92642c891e50b176438,,,,,,rerun_20260911,1114,11,76.63571495782725,1.361875458038412
4b,0,fault,agentic,2,2.7786130419699475,5eef11b6d2893427b5e7489662d009a2a83a97775704c21cd206c2c21c26351f,,,,,,rerun_20260911,1284,108,69.13112553009711,1.2071412920486182
4b,0,fault,agentic,3,3.4434265840100124,7f529362922afa0feb43a839c446edfcc71dfa432b4cd1d5ca1c0d770be2fac4,,,,,,rerun_20260911,1304,150,68.59075288343726,1.246462875045836
4b,0,fault,agentic,4,1.5228549999883398,67bb8626eec845460f42c2ed6be103f8501d24f81ed48e1c23d6e82b64d0d65e,,,,,,rerun_20260911,1503,11,72.94169722504334,1.362659249920398
4b,0,fault,agentic,5,3.7152929580770433,917d42736ca5c68ab001f65c8082c750f8a93d4757171bd64853015b2be73e0d,,,,,,rerun_20260911,1685,150,67.5389205672094,1.4843138330616057
4b,0,game,one_shot,0,4.253197208978236,6954c8e9c92218be294851241d271521942bb36658fa12349269bc07b0457782,,,,,,rerun_20260911,1126,261,76.62818751519882,0.8383091669529676
4b,0,game,agentic,0,0.7538924999535084,01c45072cc068aa796de17b6ff4ee9614813bce296f2463ccc6e29662fe94cde,,,,,,rerun_20260911,281,41,80.46304196334398,0.23550070798955858
4b,0,game,agentic,1,1.1535320000257343,219d730bcc1722f930823104e3ff9a80f8de913a17c3c92642c891e50b176438,,,,,,rerun_20260911,1114,11,85.16851612197213,1.0150615409947932
4b,0,game,agentic,2,2.4979249159805477,5eef11b6d2893427b5e7489662d009a2a83a97775704c21cd206c2c21c26351f,,,,,,rerun_20260911,1284,108,77.15359664344722,1.0883670829935
4b,0,game,agentic,3,3.08664279198274,7f529362922afa0feb43a839c446edfcc71dfa432b4cd1d5ca1c0d770be2fac4,,,,,,rerun_20260911,1304,150,77.06163140258255,1.131241999915801
4b,0,game,agentic,4,1.402608000091277,67bb8626eec845460f42c2ed6be103f8501d24f81ed48e1c23d6e82b64d0d65e,,,,,,rerun_20260911,1503,11,83.37604775344833,1.2612020840169862
4b,0,game,agentic,5,3.3623822500230744,917d42736ca5c68ab001f65c8082c750f8a93d4757171bd64853015b2be73e0d,,,,,,rerun_20260911,1685,150,75.33339263386173,1.361816875054501
4b,0,gpu,one_shot,0,24.598578959004954,6954c8e9c92218be294851241d271521942bb36658fa12349269bc07b0457782,,,,,,rerun_20260911,1126,261,12.647732746771284,3.9134858339093626
4b,0,gpu,agentic,0,5.16585666697938,01c45072cc068aa796de17b6ff4ee9614813bce296f2463ccc6e29662fe94cde,,,,,,rerun_20260911,281,41,10.818903236391685,1.3180881249718368
4b,0,gpu,agentic,1,5.63484533294104,219d730bcc1722f930823104e3ff9a80f8de913a17c3c92642c891e50b176438,,,,,,rerun_20260911,1114,11,20.185148273931983,5.050400416948833
4b,0,gpu,agentic,2,13.486056541092694,5eef11b6d2893427b5e7489662d009a2a83a97775704c21cd206c2c21c26351f,,,,,,rerun_20260911,1284,108,13.952893106382538,5.703191041015089
4b,0,gpu,agentic,3,20.551927041029558,7f529362922afa0feb43a839c446edfcc71dfa432b4cd1d5ca1c0d770be2fac4,,,,,,rerun_20260911,1304,150,10.165759284417884,5.730832583038136
4b,0,gpu,agentic,4,7.915889541967772,67bb8626eec845460f42c2ed6be103f8501d24f81ed48e1c23d6e82b64d0d65e,,,,,,rerun_20260911,1503,11,10.760538558139096,6.827640541945584
4b,0,gpu,agentic,5,19.479571832926013,917d42736ca5c68ab001f65c8082c750f8a93d4757171bd64853015b2be73e0d,,,,,,rerun_20260911,1685,150,11.709834593080725,6.617743999930099
4b,0,quiet,one_shot,0,4.096653583925217,6954c8e9c92218be294851241d271521942bb36658fa12349269bc07b0457782,,,,,,rerun_20260911,1126,261,84.36066299511162,0.9944034590153024
4b,0,quiet,agentic,0,0.7396028339862823,01c45072cc068aa796de17b6ff4ee9614813bce296f2463ccc6e29662fe94cde,,,,,,rerun_20260911,281,41,87.72194153267628,0.2646926249144599
