model,rep,condition,mode,quiet_s,loaded_s,latency_ratio,quiet_effective_tps,loaded_effective_tps,throughput_ratio,same_prompts,exact_work_match,quiet_tokens,loaded_tokens,cache_match,quiet_cached,loaded_cached,quiet_reasoning,loaded_reasoning,cached_delta,reasoning_delta,campaign
9b,0,browser,agentic,12.428253083024174,13.71113145898562,1.1032227431636177,21.161461570108617,19.181495034652475,0.9064352654046863,True,True,263,263,,,,,,,,paging_9b_allcases_20260911
9b,0,combined,one_shot,7.2830916659440845,9.116869499906898,1.2517856314424276,36.11103801285304,28.847621434384443,0.7988588260497159,True,True,263,263,,,,,,,,paging_9b_allcases_20260911
9b,0,combined,agentic,12.428253083024174,13.391850874992087,1.0775328427519792,21.161461570108617,19.63880888870452,0.9280459586234392,True,True,263,263,,,,,,,,paging_9b_allcases_20260911
9b,0,fault,one_shot,7.2830916659440845,7.817192416987382,1.0733343441962657,36.11103801285304,33.643792549928804,0.9316761411830349,True,True,263,263,,,,,,,,paging_9b_allcases_20260911
9b,0,fault,agentic,12.428253083024174,12.862014165963046,1.0349012109780213,21.161461570108617,20.447808298639657,0.9662758042914662,True,True,263,263,,,,,,,,paging_9b_allcases_20260911
9b,0,game,one_shot,7.2830916659440845,8.247667749994434,1.1324404701043007,36.11103801285304,31.88780246393624,0.8830486249823775,True,True,263,263,,,,,,,,paging_9b_allcases_20260911
9b,0,game,agentic,12.428253083024174,11.468388124951161,0.9227675078982662,21.161461570108617,22.93260370459602,1.0836965881878975,True,True,263,263,,,,,,,,paging_9b_allcases_20260911
9b,0,gpu,one_shot,7.2830916659440845,33.85096083395183,4.64788339713473,36.11103801285304,7.7693511061646525,0.2151516969243393,True,True,263,263,,,,,,,,paging_9b_allcases_20260911
9b,0,gpu,agentic,12.428253083024174,57.40267491689883,4.618724331845599,21.161461570108617,4.581668021233191,0.2165099988984208,True,True,263,263,,,,,,,,paging_9b_allcases_20260911
9b,0,video,one_shot,7.2830916659440845,8.675432874937542,1.1911744727179638,36.11103801285304,30.315490165312752,0.8395075808821262,True,True,263,263,,,,,,,,paging_9b_allcases_20260911
9b,0,video,agentic,12.428253083024174,13.279122875072062,1.0684625414661129,21.161461570108617,19.80552499395204,0.9359242474030296,True,True,263,263,,,,,,,,paging_9b_allcases_20260911
9b,1,browser,one_shot,6.633179124910384,8.642104209051467,1.3028600684996916,39.64916294998338,30.43240322473109,0.7675421360879914,True,True,263,263,,,,,,,,paging_9b_allcases_20260911
9b,1,browser,agentic,11.404573749983683,14.368701874976978,1.25990696276549,23.060923254617585,18.303671569525232,0.7937094004187457,True,True,263,263,,,,,,,,paging_9b_allcases_20260911
9b,1,combined,one_shot,6.633179124910384,7.639595916029066,1.151724651508228,39.64916294998338,34.42590457542197,0.868263085877741,True,True,263,263,,,,,,,,paging_9b_allcases_20260911
9b,1,combined,agentic,11.404573749983683,13.698818250093609,1.2011688073930171,23.060923254617585,19.198736358021453,0.8325224513366875,True,True,263,263,,,,,,,,paging_9b_allcases_20260911
9b,1,fault,one_shot,6.633179124910384,7.131907082977705,1.075186867213398,39.64916294998338,36.876532032746645,0.9300708839494455,True,True,263,263,,,,,,,,paging_9b_allcases_20260911
9b,1,fault,agentic,11.404573749983683,12.105161915998906,1.0614304560059709,23.060923254617585,21.72626866332151,0.942124841379504,True,True,263,263,,,,,,,,paging_9b_allcases_20260911
9b,1,game,one_shot,6.633179124910384,7.071189083042555,1.0660331870863036,39.64916294998338,37.19317881496074,0.9380571000169458,True,True,263,263,,,,,,,,paging_9b_allcases_20260911
9b,1,game,agentic,11.404573749983683,12.491525707999244,1.0953084246587572,23.060923254617585,21.0542736049914,0.9129848520169555,True,True,263,263,,,,,,,,paging_9b_allcases_20260911
