stage,window,precision,operator,winner,npu_path,gpu_us,npu_us,speedup
decode,512,int8,rotary_embedding,GPU,npuw,3.9427650693442486,13.702178457070847,3.4752713428471558
decode,512,int8,kv_cache_and_gqa_layout,NPU,npuw,126.75434979912522,34.255446142677116,3.7002685433195524
decode,512,int8,scaled_dot_product_attention,NPU,npuw,210.59187250090883,87.27691930264692,2.4129159711818797
decode,512,int8,attention_output_and_residual,NPU,npuw,14.785369010040933,9.42397087929825,1.568910727697613
decode,512,int8,ffn_rmsnorm,GPU,npuw,4.073377869786306,45.87251048671544,11.261540655721676
decode,512,int8,ffn_gate_projection,NPU,npuw,64.87427351923732,31.872458584925663,2.035433612577353
decode,512,int8,ffn_up_projection,NPU,npuw,66.38966130180509,24.127749022233445,2.751589517970689
decode,512,int8,swiglu_activation,GPU,npuw,1.0183444674465765,65.23428439344599,64.0591533403389
decode,512,int8,ffn_down_and_residual,NPU,plain,59.14147604016373,37.78777594405695,1.5650954458849322
decode,512,int8,final_rmsnorm,GPU,npuw,4.073377869786306,61.36192961209988,15.064138799212113
decode,512,int8,lm_head,NPU,plain,1723.659544118813,873.8740223110265,1.9724348133847303
decode,1024,fp16,token_embedding,GPU,npuw,1.9618629551923266,27.342029715122436,13.936768438773047
decode,1024,fp16,pre_attention_rmsnorm,GPU,npuw,5.048701937482195,42.889622898925914,8.495178251761702
decode,1024,fp16,qkv_projection,GPU,npuw,36.88589136591353,52.94238955917694,1.4353018891147447
decode,1024,fp16,rotary_embedding,GPU,npuw,5.981495897175167,13.713044249241815,2.2925777238630163
decode,1024,fp16,kv_cache_and_gqa_layout,GPU,npuw,185.36226477595997,255.9768259858472,1.380954350634614
decode,1024,fp16,scaled_dot_product_attention,GPU,npuw,58.1135749027334,396.044602939018,6.815010152135553
decode,1024,fp16,attention_output_and_residual,GPU,plain,24.922899571563196,40.38331128959357,1.6203295757637513
decode,1024,fp16,ffn_rmsnorm,GPU,plain,5.88558886557698,6.106648343214717,1.03755944947678
decode,1024,fp16,ffn_gate_projection,GPU,plain,117.22910799344496,128.15661222031972,1.093214939650362
decode,1024,fp16,ffn_up_projection,GPU,plain,116.76864576243311,139.43671633954008,1.1941280591985743
decode,1024,fp16,swiglu_activation,GPU,plain,0.0,9.159972514822075,
decode,1024,fp16,ffn_down_and_residual,GPU,plain,115.77908096783622,127.26198289806902,1.0991794185464538
decode,1024,fp16,final_rmsnorm,GPU,plain,5.88558886557698,7.6263953037429815,1.2957743868837746
decode,1024,fp16,lm_head,GPU,plain,3480.8027450361346,4031.4735855328227,1.1582022541443875
decode,1024,int8,token_embedding,GPU,npuw,1.7915376446818154,11.240900851475653,6.274443009804622
decode,1024,int8,pre_attention_rmsnorm,GPU,plain,3.7692612576707503,431.51578937513335,114.4828548291695
decode,1024,int8,qkv_projection,GPU,plain,20.621177556452512,60.78417732598049,2.9476579191259953
decode,1024,int8,rotary_embedding,GPU,npuw,3.9278433440861926,14.4271809343157,3.6730540580335096
decode,1024,int8,kv_cache_and_gqa_layout,NPU,npuw,256.9592426420845,68.02186156277574,3.77759791835369
decode,1024,int8,scaled_dot_product_attention,NPU,npuw,353.79836020495964,145.26702638830074,2.435503561966305
decode,1024,int8,attention_output_and_residual,NPU,npuw,14.885985035830595,9.799759716671081,1.5190153091720164
decode,1024,int8,ffn_rmsnorm,GPU,npuw,3.9695960095548255,48.422342129433574,12.19830481814293
decode,1024,int8,ffn_gate_projection,NPU,npuw,64.23981066052113,33.146246100505124,1.9380719755031977
decode,1024,int8,ffn_up_projection,NPU,npuw,66.40685311264055,25.23537653912417,2.6314984050143
decode,1024,int8,swiglu_activation,GPU,npuw,1.942730995042246,67.73363333581483,34.865163272047305
decode,1024,int8,ffn_down_and_residual,NPU,plain,58.48699179539983,36.38581057421164,1.6074120892843968
decode,1024,int8,final_rmsnorm,GPU,npuw,3.9695960095548255,64.27489461228386,16.191797466939725
decode,1024,int8,lm_head,NPU,plain,1666.3998645968018,830.7711979832296,2.0058469391357505
decode,2048,fp16,token_embedding,GPU,npuw,1.9735724773128067,25.668771194985517,13.006247041880021
decode,2048,fp16,pre_attention_rmsnorm,GPU,npuw,4.106989541973514,41.07003391197683,10.000033721108924
decode,2048,fp16,qkv_projection,GPU,npuw,35.51220658777931,66.73880510696235,1.8793201414279037
decode,2048,fp16,rotary_embedding,GPU,npuw,5.982629912472444,13.659908664916799,2.2832615195599764
decode,2048,fp16,kv_cache_and_gqa_layout,GPU,npuw,351.0635279820469,744.39436465458,2.120397891895645
decode,2048,fp16,scaled_dot_product_attention,GPU,plain,95.37564055003585,681.2599600546403,7.142913600640391
decode,2048,fp16,attention_output_and_residual,GPU,npuw,24.73457611369011,64.0308218667975,2.588717169539755
decode,2048,fp16,ffn_rmsnorm,GPU,npuw,5.105056832900038,124.06572744243,24.30251640743278
decode,2048,fp16,ffn_gate_projection,NPU,plain,117.41630715670088,108.8234696699992,1.0789612526852796
decode,2048,fp16,ffn_up_projection,NPU,plain,118.4373185232809,113.5210867427204,1.0433067716458921
